Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,177.78875,-70.24625,90.0,bottom
C2,1u,C_0402_1005Metric,175.01875,-67.90625,180.0,bottom
C3,4.7u,C_0402_1005Metric,153.24875,-111.90625,180.0,bottom
C4,100n,C_0402_1005Metric,156.42875,-119.43625,180.0,bottom
C5,100n,C_0402_1005Metric,145.37875,-113.44625,90.0,bottom
C6,100n,C_0402_1005Metric,148.76875,-122.55625,270.0,bottom
C7,100n,C_0402_1005Metric,152.76875,-122.55625,270.0,bottom
D1,D_Small,D_SOD-123,83.34375,-64.29375,180.0,bottom
D2,D_Small,D_SOD-123,102.39375,-64.29375,180.0,bottom
D3,D_Small,D_SOD-123,121.44375,-64.29375,180.0,bottom
D4,D_Small,D_SOD-123,140.49375,-64.29375,180.0,bottom
D5,D_Small,D_SOD-123,159.54375,-54.74875,0.0,bottom
D6,D_Small,D_SOD-123,178.61375,-54.76875,0.0,bottom
D7,D_Small,D_SOD-123,197.64375,-64.29375,180.0,bottom
D8,D_Small,D_SOD-123,216.69375,-64.29375,180.0,bottom
D9,D_Small,D_SOD-123,235.74375,-64.29375,180.0,bottom
D10,D_Small,D_SOD-123,254.79375,-64.29375,180.0,bottom
D11,D_Small,D_SOD-123,83.34375,-83.34375,180.0,bottom
D12,D_Small,D_SOD-123,102.39375,-83.34375,180.0,bottom
D13,D_Small,D_SOD-123,121.44375,-83.34375,180.0,bottom
D14,D_Small,D_SOD-123,140.49375,-83.34375,180.0,bottom
D15,D_Small,D_SOD-123,159.54375,-83.34375,180.0,bottom
D16,D_Small,D_SOD-123,178.59375,-83.34375,180.0,bottom
D17,D_Small,D_SOD-123,197.64375,-83.34375,180.0,bottom
D18,D_Small,D_SOD-123,216.69375,-83.34375,180.0,bottom
D19,D_Small,D_SOD-123,235.74375,-83.34375,180.0,bottom
D20,D_Small,D_SOD-123,254.79375,-83.34375,180.0,bottom
D21,D_Small,D_SOD-123,83.34375,-102.39375,180.0,bottom
D22,D_Small,D_SOD-123,102.39375,-102.39375,180.0,bottom
D23,D_Small,D_SOD-123,121.44375,-102.39375,180.0,bottom
D24,D_Small,D_SOD-123,140.49375,-102.39375,180.0,bottom
D25,D_Small,D_SOD-123,159.54375,-102.39375,180.0,bottom
D26,D_Small,D_SOD-123,178.59375,-102.39375,180.0,bottom
D27,D_Small,D_SOD-123,197.64375,-102.39375,180.0,bottom
D28,D_Small,D_SOD-123,216.69375,-102.39375,180.0,bottom
D29,D_Small,D_SOD-123,235.74375,-102.39375,180.0,bottom
D30,D_Small,D_SOD-123,254.79375,-102.39375,180.0,bottom
D31,D_Small,D_SOD-123,169.06875,-121.44375,180.0,bottom
F1,500mA,Fuse_0805_2012Metric,171.5,-65.9375,270.0,bottom
FB1,100R @ 100 MHz,L_0603_1608Metric,171.5,-69.5,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,169.06875,-52.3875,180.0,bottom
R1,5.1k,R_0402_1005Metric,166.56875,-60.5,270.0,bottom
R2,5.1k,R_0402_1005Metric,171.56875,-60.5,270.0,bottom
R3,10k,R_0402_1005Metric,115.115625,-116.60625,270.0,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,120.253125,-116.68125,0.0,bottom
SW2,SW_Push,SW_SPST_SKQG_WithStem,129.778125,-116.68125,0.0,bottom
U1,STM32L443CCUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,150.01875,-116.68125,90.0,bottom
U2,USBLC6-2SC6,SOT-23-6,169.06875,-61.9125,90.0,bottom
U3,AP2127N-3.3,SOT-23,175.021875,-70.246875,0.0,bottom
